symbol,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
SNOW,2020-12-31,2021-03-03,-0.1567,-0.1731,0.0164,9.4743
SNOW,2020-09-30,2020-12-02,-0.28,-0.26,-0.02,-7.6923
DDOG,2020-12-31,2021-02-11,0.06,0.0181,0.0419,231.4917
DDOG,2020-09-30,2020-11-10,0.05,0.0093,0.0407,437.6344
DDOG,2020-06-30,2020-08-06,0.05,0.0077,0.0423,549.3506
DDOG,2020-03-31,2020-05-11,0.06,-0.015,0.075,500
DDOG,2019-12-31,2020-02-13,0.03,-0.0193,0.0493,255.4404
DDOG,2019-09-30,2019-11-12,0.01,-0.1378,0.1478,107.2569
ESTC,2021-01-31,2021-02-24,-0.04,-0.149,0.109,73.1544
ESTC,2020-10-31,2020-12-02,-0.03,-0.2022,0.1722,85.1632
ESTC,2020-07-31,2020-08-26,0.06,-0.1798,0.2398,133.3704
ESTC,2020-04-30,2020-06-03,-0.12,-0.3094,0.1894,61.2153
ESTC,2020-01-31,2020-02-26,-0.28,-0.3486,0.0686,19.6787
ESTC,2019-10-31,2019-12-04,-0.22,-0.3137,0.0937,29.8693
ESTC,2019-07-31,2019-08-28,-0.32,-0.4152,0.0952,22.9287
ESTC,2019-04-30,2019-06-05,-0.28,-0.2848,0.0048,1.6854
ESTC,2019-01-31,2019-02-27,-0.16,-0.3075,0.1475,47.9675
ESTC,2018-10-31,2018-12-04,-0.38,-0.4664,0.0864,18.5249
ESTC,2018-07-31,2018-10-05,-0.36,None,None,None
ZM,2021-01-31,2021-03-01,1.22,0.7902,0.4298,54.3913
ZM,2020-10-31,2020-11-30,0.99,0.7604,0.2296,30.1946
ZM,2020-07-31,2020-08-31,0.92,0.4538,0.4662,102.7325
ZM,2020-04-30,2020-06-02,0.2,0.0985,0.1015,103.0457
ZM,2020-01-31,2020-03-04,0.15,0.0711,0.0789,110.9705
ZM,2019-10-31,2019-12-05,0.09,0.0311,0.0589,189.3891
ZM,2019-07-31,2019-09-05,0.08,0.0144,0.0656,455.5556
ZM,2019-04-30,2019-06-06,0.03,0.0061,0.0239,391.8033
TWLO,2020-12-31,2021-02-17,0.04,-0.066,0.106,160.6061
TWLO,2020-09-30,2020-10-26,0.04,-0.0397,0.0797,200.7557
TWLO,2020-06-30,2020-08-04,0.09,-0.083,0.173,208.4337
TWLO,2020-03-31,2020-05-06,0.06,-0.112,0.172,153.5714
TWLO,2019-12-31,2020-02-05,0.04,0.0144,0.0256,177.7778
TWLO,2019-09-30,2019-10-30,0.03,0.0132,0.0168,127.2727
TWLO,2019-06-30,2019-07-31,0.03,0.0224,0.0076,33.9286
TWLO,2019-03-31,2019-04-30,0.05,0.0089,0.0411,461.7978
TWLO,2018-12-31,2019-02-12,0.04,0.0398,0.0002,0.5025
TWLO,2018-09-30,2018-11-06,0.07,0.0229,0.0471,205.6769
TWLO,2018-06-30,2018-08-06,0.03,-0.055,0.085,154.5455
TWLO,2018-03-31,2018-05-08,-0.04,-0.0677,0.0277,40.9158
TWLO,2017-12-31,2018-02-13,-0.03,-0.0564,0.0264,46.8085
TWLO,2017-09-30,2017-11-08,-0.08,-0.0775,-0.0025,-3.2258
TWLO,2017-06-30,2017-08-07,-0.05,-0.1082,0.0582,53.7893
TWLO,2017-03-31,2017-05-02,-0.04,-0.0644,0.0244,37.8882
TWLO,2016-12-31,2017-02-07,-0.1464,-0.0527,-0.0937,-177.7989
TWLO,2016-09-30,2016-11-03,-0.04,-0.0763,0.0363,47.5754
TWLO,2016-06-30,2016-08-08,-0.08,-0.1483,0.0683,46.0553
OKTA,2021-01-31,2021-03-03,0.06,-0.011,0.071,645.4545
OKTA,2020-10-31,2020-12-02,0.04,-0.0103,0.0503,488.3495
OKTA,2020-07-31,2020-08-27,0.07,-0.0185,0.0885,478.3784
OKTA,2020-04-30,2020-05-28,-0.07,-0.1681,0.0981,58.3581
OKTA,2020-01-31,2020-03-05,-0.01,-0.0457,0.0357,78.1182
OKTA,2019-10-31,2019-12-05,-0.07,-0.1222,0.0522,42.7169
OKTA,2019-07-31,2019-08-28,-0.05,-0.1029,0.0529,51.4091
OKTA,2019-04-30,2019-05-30,-0.19,-0.2106,0.0206,9.7816
OKTA,2019-01-31,2019-03-07,-0.04,-0.0836,0.0436,52.1531
OKTA,2018-10-31,2018-12-05,-0.04,-0.1135,0.0735,64.7577
OKTA,2018-07-31,2018-09-06,-0.15,-0.1907,0.0407,21.3424
OKTA,2018-04-30,2018-06-06,-0.09,-0.1578,0.0678,42.9658
OKTA,2018-01-31,2018-03-07,-0.1,-0.1475,0.0475,32.2034
OKTA,2017-10-31,2017-12-06,-0.19,-0.2417,0.0517,21.3902
OKTA,2017-07-31,2017-09-07,-0.16,-0.256,0.096,37.5
OKTA,2017-04-30,2017-06-07,-0.5,-0.6124,0.1124,18.354
ZS,2021-01-31,2021-02-25,0.1,0.0777,0.0223,28.7001
ZS,2020-10-31,2020-12-02,0.14,0.0617,0.0783,126.9044
ZS,2020-07-31,2020-09-09,0.05,0.0269,0.0231,85.8736
ZS,2020-04-30,2020-05-28,0.07,0.0217,0.0483,222.5806
ZS,2020-01-31,2020-02-20,0.09,0.0306,0.0594,194.1176
ZS,2019-10-31,2019-12-03,0.03,0.0074,0.0226,305.4054
ZS,2019-07-31,2019-09-10,0.07,0.0153,0.0547,357.5163
ZS,2019-04-30,2019-05-30,0.05,0.01,0.04,400
ZS,2019-01-31,2019-02-28,0.09,-0.0077,0.0977,1268.8312
ZS,2018-10-31,2018-12-04,0.01,-0.05,0.06,120
ZS,2018-07-31,2018-09-05,-0.01,-0.0521,0.0421,80.8061
ZS,2018-04-30,2018-06-06,-0.02,-0.0791,0.0591,74.7155
ZS,2018-01-31,2018-03-16,-0.0763,None,None,None
NET,2020-12-31,2021-02-11,-0.02,-0.035,0.015,42.8571
NET,2020-09-30,2020-11-05,-0.02,-0.0517,0.0317,61.3153
NET,2020-06-30,2020-08-06,-0.03,-0.0594,0.0294,49.4949
NET,2020-03-31,2020-05-07,-0.04,-0.0598,0.0198,33.1104
NET,2019-12-31,2020-02-13,-0.06,-0.0685,0.0085,12.4088
NET,2019-09-30,2019-11-07,-0.16,-0.1469,-0.0131,-8.9176
